Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Locus_per_language$Locus.A.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.elsewhere,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.elsewhere.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.elsewhere.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.N,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.N_or_Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.N_or_Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.N_or_Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.N.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.N.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.SAP,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.SAP.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.default.if.SAP.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.exp,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.exp.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.exp.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.poss,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.poss.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.A.poss.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.Act,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.Act.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.Act.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.ATTR.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.ATTR.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
