Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$NP_structure_presence$NPMarkerFusion.reduplicative.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.replacive.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.stem.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.suppletive.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.tonal_or_ablaut_then_isolating.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.tonal_or_suppletive.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkerFusion.tonal.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$NP_structure_presence$NPMarkersSource.agr_target.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPMarkersSource.agree.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPMarkersSource.assign.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPMarkersSource.both_assign_and_agree.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPMarkersSource.case_assigned_gender_agrees.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPMarkersSource.free.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPMarkerType.formative.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure_presence$NPMarkerType.word.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure$NPAgrCat,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$NP_structure$NPAlienability.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure$NPAlienabilityType,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure$NPDepSemConstraints,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure$NPDepSemConstraints.binned4,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure$NPHeadlessness,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure$NPHeadSemClassSize.n,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure$NPHeadSemConstraints.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$NP_structure$NPMarking,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure$NPMarking.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure$NPMarking.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure$NPMarking.overt.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$NP_structure$NPWordOrder,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$NP_word_order$WordOrderNPBasic,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Numeral_classifiers$NumClass.n,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Numeral_classifiers$NumClass.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$Rhythm_per_language$RhythmType,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,
autotyp$Synthesis$VAgrAllPre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VAgrAnyPre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VAgrRoles,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VAnyIncorporation.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VBipartiteStem.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VIncorporationV.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VIncorporationVorN.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCat,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCatandAgrFmtvMax.binned3,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCatAndAgrFmtvMax.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCatAndAgrMax.binned3,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCatAndAgrMax.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCatFmtvMax.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCatMax.binned3,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflCatMax.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflExponence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflMacrocategories,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflMax.binned3,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VInflMax.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VNounIncorporation.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Synthesis$VPhonCoherence.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Synthesis$VProsCoherence.Presence,Grammar,Morphology,Phonology,Phonology,Phonology,Phonology,Phonology,
autotyp$Synthesis$VSynCoherence.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_multiexponence$VAgrA.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_multiexponence$VAgrP.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_multiexponence$VAgrPOSS.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position$VAgrA.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position$VAgrP.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position$VAgrPOSS.Position,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position4$VAgrA.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position4$VAgrP.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position4$VAgrPOSS.Position.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position5$VAgrA.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position5$VAgrP.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_position5$VAgrPOSS.Position.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_postposed$VAgrA.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_postposed$VAgrP.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_postposed$VAgrPOSS.Post.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_preposed$VAgrA.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_preposed$VAgrP.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgr_preposed$VAgrPOSS.Pre.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgreement$VAgrA.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgreement$VAgrP.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$VAgreement$VAgrPOSS.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.ability.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.achieve.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.activity.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.appearance_disappearance.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.aspectual.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.assuming_position.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.attempt.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.bodily_emission.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.caused_motion.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.change_of_possession.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.change_of_state.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.cognition.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.combine_attach.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.communication.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.creation_transformation.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.desideration.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.destroy.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.diseases_and_bodily_states.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.emotion.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.existence.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.fail.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.fight.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.grooming.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.happening.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.help.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.hide.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.hit.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.hold_keep.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.hurt.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.influence_cause.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.ingestion.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.judge.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.kill.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.laugh_wink.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.lose.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_contact.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_effective_action.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_emotion.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_motion.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_other.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_perception_cognition.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_pursuit.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.M_sensation.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.measure.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.modality.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.motion.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.name.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.necessity.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.obligation.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.perception.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.persuit.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.possession.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.push_pull.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.put_pour_spray_load_fill.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.quality.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.remove_wipe_clear.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.scent_emission.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.seem.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.send_carry_bring_take.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.sensation.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.separate_disassemble.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.sleep.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.social_interaction.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.sound_emission.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.spatial_position.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.spread_apply.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Valence_classes_per_language$ValClassesWithVerbsOfType.touch.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
